order_id,customer_id,product_id,quantity,sales_amount,profit,discount,order_date,return_flag
CA-2016-152156,CG-12520,FUR-BO-10001798,2,261.96,41.9136,0.0,2016-11-08,0.0
CA-2016-152156,CG-12520,FUR-BO-10001798,2,261.96,41.9136,0.0,2016-11-08,0.0
CA-2016-152156,CG-12520,FUR-CH-10000454,3,731.94,219.582,0.0,2016-11-08,0.0
CA-2016-152156,CG-12520,FUR-CH-10000454,3,731.94,219.582,0.0,2016-11-08,0.0
CA-2016-138688,DV-13045,OFF-LA-10000240,2,14.62,6.8714,0.0,2016-06-12,0.0
US-2015-108966,SO-20335,FUR-TA-10000577,5,957.5775,-383.031,0.45,2015-10-11,0.0
US-2015-108966,SO-20335,OFF-ST-10000760,2,22.368,2.5164,0.2,2015-10-11,0.0
CA-2014-115812,BH-11710,FUR-FU-10001487,7,48.86,14.1694,0.0,2014-06-09,0.0
CA-2014-115812,BH-11710,OFF-AR-10002833,4,7.28,1.9656,0.0,2014-06-09,0.0
CA-2014-115812,BH-11710,TEC-PH-10002275,6,907.152,90.7152,0.2,2014-06-09,0.0
CA-2014-115812,BH-11710,OFF-BI-10003910,3,18.504,5.7825,0.2,2014-06-09,0.0
CA-2014-115812,BH-11710,OFF-AP-10002892,5,114.9,34.47,0.0,2014-06-09,0.0
CA-2014-115812,BH-11710,FUR-TA-10001539,9,1706.184,85.3092,0.2,2014-06-09,1.0
CA-2014-115812,BH-11710,TEC-PH-10002033,4,911.424,68.3568,0.2,2014-06-09,0.0
CA-2017-114412,AA-10480,OFF-PA-10002365,3,15.552,5.4432,0.2,2017-04-15,0.0
CA-2017-114412,AA-10480,OFF-PA-10002365,3,15.552,5.4432,0.2,2017-04-15,0.0
CA-2017-114412,AA-10480,OFF-PA-10002365,3,15.552,5.4432,0.2,2017-04-15,0.0
CA-2016-161389,IM-15070,OFF-BI-10003656,3,407.976,132.5922,0.2,2016-12-05,0.0
US-2015-118983,HP-14815,OFF-AP-10002311,5,68.81,-123.858,0.8,2015-11-22,0.0
US-2015-118983,HP-14815,OFF-BI-10000756,3,2.544,-3.816,0.8,2015-11-22,0.0
CA-2014-105893,PK-19075,OFF-ST-10004186,6,665.88,13.3176,0.0,2014-11-11,0.0
CA-2014-167164,AG-10270,OFF-ST-10000107,2,55.5,9.99,0.0,2014-05-13,0.0
CA-2014-143336,ZD-21925,OFF-AR-10003056,2,8.56,2.4824,0.0,2014-08-27,0.0
CA-2014-143336,ZD-21925,TEC-PH-10001949,3,213.48,16.011,0.2,2014-08-27,0.0
CA-2014-143336,ZD-21925,OFF-BI-10002215,4,22.72,7.384,0.2,2014-08-27,0.0
CA-2016-137330,KB-16585,OFF-AR-10000246,7,19.46,5.0596,0.0,2016-12-09,0.0
CA-2016-137330,KB-16585,OFF-AP-10001492,7,60.34,15.6884,0.0,2016-12-09,0.0
US-2017-156909,SF-20065,FUR-CH-10002774,2,71.372,-1.0196,0.3,2017-07-16,0.0
CA-2015-106320,EB-13870,FUR-TA-10000577,3,1044.63,240.2649,0.0,2015-09-25,0.0
CA-2016-121755,EH-13945,OFF-BI-10001634,2,11.648,4.2224,0.2,2016-01-16,0.0
CA-2016-121755,EH-13945,TEC-AC-10003027,3,90.57,11.7741,0.0,2016-01-16,0.0
US-2015-150630,TB-21520,FUR-BO-10004834,7,3083.43,-1665.0522,0.5,2015-09-17,0.0
US-2015-150630,TB-21520,OFF-BI-10000474,2,9.618,-7.0532,0.7,2015-09-17,0.0
US-2015-150630,TB-21520,FUR-FU-10004848,3,124.2,15.525,0.2,2015-09-17,1.0
US-2015-150630,TB-21520,OFF-EN-10001509,2,3.264,1.1016,0.2,2015-09-17,0.0
US-2015-150630,TB-21520,OFF-AR-10004042,6,86.304,9.7092,0.2,2015-09-17,0.0
US-2015-150630,TB-21520,OFF-BI-10001525,6,6.858,-5.715,0.7,2015-09-17,1.0
US-2015-150630,TB-21520,OFF-AR-10001683,2,15.76,3.546,0.2,2015-09-17,0.0
CA-2017-107727,MA-17560,OFF-PA-10000249,3,29.472,9.9468,0.2,2017-10-19,0.0
CA-2016-117590,GH-14485,TEC-PH-10004977,7,1097.544,123.4737,0.2,2016-12-08,0.0
CA-2016-117590,GH-14485,FUR-FU-10003664,5,190.92,-147.963,0.6,2016-12-08,0.0
CA-2015-117415,SN-20710,OFF-EN-10002986,9,113.328,35.415,0.2,2015-12-27,0.0
CA-2015-117415,SN-20710,FUR-BO-10002545,3,532.3992,-46.9764,0.32,2015-12-27,0.0
CA-2015-117415,SN-20710,FUR-CH-10004218,3,212.058,-15.147,0.3,2015-12-27,0.0
CA-2015-117415,SN-20710,TEC-PH-10000486,4,371.168,41.7564,0.2,2015-12-27,0.0
CA-2017-120999,LC-16930,TEC-PH-10004093,4,147.168,16.5564,0.2,2017-09-10,0.0
CA-2016-101343,RA-19885,OFF-ST-10003479,2,77.88,3.894,0.0,2016-07-17,1.0
CA-2017-139619,ES-14080,OFF-ST-10003282,2,95.616,9.5616,0.2,2017-09-19,0.0
CA-2016-118255,ON-18715,TEC-AC-10000171,2,45.98,19.7714,0.0,2016-03-11,0.0
CA-2016-118255,ON-18715,OFF-BI-10003291,2,17.46,8.2062,0.0,2016-03-11,0.0
CA-2014-146703,PO-18865,OFF-ST-10001713,4,211.96,8.4784,0.0,2014-10-20,0.0
CA-2016-169194,LH-16900,TEC-AC-10002167,3,45.0,4.95,0.0,2016-06-20,0.0
CA-2016-169194,LH-16900,TEC-AC-10002167,3,45.0,4.95,0.0,2016-06-20,0.0
CA-2016-169194,LH-16900,TEC-PH-10003988,2,21.8,6.104,0.0,2016-06-20,0.0
CA-2016-169194,LH-16900,TEC-PH-10003988,2,21.8,6.104,0.0,2016-06-20,0.0
CA-2015-115742,DP-13000,OFF-BI-10004410,6,38.22,17.9634,0.0,2015-04-18,0.0
