Product ID,Product Name,Category,Sub-category,Cost Price,Selling Price
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,85.45,108.06
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,154.51,207.38
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,3.8,7.31
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,176.72,243.75
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,5.26,11.18
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,4.96,6.98
OFF-AR-10002833,Newell 322,Office Supplies,Art,0.91,1.82
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,100.01,151.19
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,3.49,6.17
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,10.38,22.98
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,101.96,142.18
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,140.68,256.34
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,3.2,6.48
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,79.3,135.99
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,25.89,61.93
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,0.47,0.85
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,48.46,110.98
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,14.5,27.75
OFF-AR-10003056,Newell 341,Office Supplies,Art,2.22,4.28
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,42.21,71.16
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,2.74,5.68
OFF-AR-10000246,Newell 318,Office Supplies,Art,1.45,2.78
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,4.17,8.62
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,32.22,40.78
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,3.48,5.82
